1:ItNr	2:Metric	2:Metric0	2:Metric1	3a:Time	3b:StepSize	4:||Gradient0||	4:||Gradient1||	4:||Gradient||	Time0[ms]	Time1[ms]	Time[ms]
958	-0.222376	-0.222376	-0.398290	35.503015	0.071403	3.321069	1.817843	0.130966	3.8	1.8	13.3
959	-0.229930	-0.229930	-0.410843	34.597942	0.072566	2.507024	2.333517	0.108805	11.3	2.1	19.4
960	-0.217545	-0.217545	-0.368694	35.585177	0.071300	1.143627	2.792410	0.081173	3.6	1.6	10.8
961	-0.227015	-0.227015	-0.377968	35.060802	0.071966	2.951247	2.260393	0.119133	3.1	1.6	12.7
962	-0.219334	-0.219334	-0.371625	36.060296	0.070706	3.021622	1.810155	0.113893	2.8	13.2	22.0
963	-0.225667	-0.225667	-0.379603	35.155175	0.071845	3.644635	1.679813	0.162080	3.0	1.8	12.4
964	-0.222918	-0.222918	-0.392628	34.250055	0.073022	2.109609	2.742943	0.112243	2.9	1.5	9.5
965	-0.209082	-0.209082	-0.338419	33.344935	0.074239	2.853003	2.679812	0.115211	2.6	2.0	9.6
966	-0.216844	-0.216844	-0.387772	34.055766	0.073280	3.615945	2.167399	0.162773	13.1	2.3	20.9
967	-0.231487	-0.231487	-0.382911	33.575754	0.073925	2.982905	3.478327	0.137086	7.7	1.7	15.6
968	-0.211122	-0.211122	-0.366576	34.575749	0.072595	2.912058	1.646149	0.130487	4.3	1.7	11.9
969	-0.216166	-0.216166	-0.371728	35.575749	0.071311	2.582547	2.764699	0.106184	3.4	2.0	12.2
970	-0.212486	-0.212486	-0.360138	34.670630	0.072471	2.975223	2.120030	0.130302	3.7	1.6	11.1
971	-0.236293	-0.236293	-0.390886	33.765638	0.073668	2.254923	1.544915	0.104031	13.7	2.0	21.8
972	-0.216192	-0.216192	-0.374840	34.764322	0.072349	2.286321	1.705835	0.110241	3.1	2.0	11.8
973	-0.216607	-0.216607	-0.367276	33.859832	0.073542	2.833762	3.653882	0.160906	15.6	2.0	25.4
974	-0.221604	-0.221604	-0.393111	34.859832	0.072225	2.557301	2.031315	0.125666	2.9	1.8	10.5
975	-0.222429	-0.222429	-0.379153	35.859832	0.070955	2.035391	2.631265	0.106617	3.1	1.7	17.5
976	-0.213746	-0.213746	-0.376906	34.954712	0.072103	4.266169	2.888258	0.176388	2.6	1.4	9.5
977	-0.220679	-0.220679	-0.386941	35.954583	0.070837	3.080922	2.422403	0.121087	7.3	1.8	14.7
978	-0.234694	-0.234694	-0.373275	36.954465	0.069615	2.831767	1.503421	0.129274	3.4	1.6	10.8
979	-0.219744	-0.219744	-0.377432	36.049513	0.070719	4.021275	3.031106	0.170976	3.3	1.7	10.2
980	-0.198917	-0.198917	-0.352327	37.049513	0.069501	2.833810	1.512808	0.144157	7.3	1.5	14.1
981	-0.215877	-0.215877	-0.367893	38.049513	0.068324	3.726232	2.267058	0.163280	2.9	1.6	9.5
982	-0.219289	-0.219289	-0.382520	39.049507	0.067186	2.232151	2.668549	0.107865	2.5	1.6	11.8
983	-0.201016	-0.201016	-0.364659	40.048622	0.066087	3.391800	4.165536	0.138935	4.0	1.5	11.3
984	-0.227770	-0.227770	-0.383247	41.048617	0.065022	4.457617	1.539801	0.215305	3.2	1.6	9.8
985	-0.216978	-0.216978	-0.375588	40.143497	0.065984	2.864425	2.980088	0.120969	3.0	8.0	15.9
986	-0.235478	-0.235478	-0.394540	39.238377	0.066976	3.299635	1.847586	0.164321	3.0	1.6	10.1
987	-0.222775	-0.222775	-0.423666	38.333257	0.067997	3.129362	2.615097	0.142772	2.7	1.6	7.9
988	-0.226408	-0.226408	-0.387603	39.330732	0.066873	2.770165	1.741115	0.111311	2.9	7.6	15.5
989	-0.204853	-0.204853	-0.372147	40.323747	0.065790	1.790763	2.220463	0.078663	6.5	2.4	14.4
990	-0.220207	-0.220207	-0.375062	39.423162	0.066771	2.785203	1.796095	0.139926	14.1	1.6	22.8
991	-0.210669	-0.210669	-0.367330	40.397034	0.065712	2.530483	1.888716	0.115585	3.1	1.7	12.2
992	-0.222234	-0.222234	-0.377902	41.396630	0.064659	3.414624	2.780512	0.155782	3.9	8.6	19.6
993	-0.229223	-0.229223	-0.364116	40.491510	0.065611	1.497658	1.797385	0.083693	3.2	1.6	10.5
994	-0.208385	-0.208385	-0.379169	39.586629	0.066591	2.559299	2.729202	0.125998	8.3	1.8	15.1
995	-0.226275	-0.226275	-0.391098	38.681513	0.067600	1.612079	1.010045	0.091093	2.8	2.3	10.5
996	-0.228233	-0.228233	-0.407926	39.681512	0.066486	2.288587	1.552510	0.089847	3.0	1.5	9.9
997	-0.216902	-0.216902	-0.370105	40.636935	0.065456	1.776775	1.686088	0.121034	8.9	1.8	15.9
998	-0.240247	-0.240247	-0.386357	41.636759	0.064411	2.425739	3.525698	0.127249	2.7	1.7	9.9
999	-0.214868	-0.214868	-0.377814	42.636561	0.063399	2.252919	2.108700	0.106650	2.6	8.0	15.7
